,Team,GP_T,MPG_T,FGM_T,FGA_T,FG%_T,3PM_T,3PA_T,3P%_T,FTM_T,FTA_T,FT%_T,TOV_T,PF_T,ORB_T,DRB_T,RPG_T,APG_T,SPG_T,BPG_T,PPG_T,TS%_T,eFG%_T,Total S%_T,ORB%_T,DRB%_T,TRB%_T,AST%_T,TOV%_T,STL%_T,BLK%_T,PPS_T,FIC40_T,ORtg_T,DRtg_T,eDiff_T,Poss_T,Pace_T,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Player,ID
16,Philadelphia,82.00,48.3,36.2,84.00,0.431,9.3,27.5,0.339,15.7,22.6,0.694,16.4,21.7,9.5,31.8,41.2,21.5,8.3,6.00,97.4,0.519,0.487,146.4,20.6,74.00,46.4,59.4,14.8,8.4,9.5,1.2,56.2,98.8,109.2,-10.4,8082.7,97.9,4.1,11.1,0.369,2.00,5.1,0.388,2.1,6.1,0.353,3.1,4.2,0.72,0.5,3.8,4.3,2.1,1.1,0.3,2.1,2.5,13.4,13.8,0.51,0.465,0.544,0.381,1.7,12.1,6.9,12.8,2.00,0.9,14.00,23.2,1.5,1.8,3.3,0.104,1.4,2.1,3.5,malachi-richardson,0
17,Philadelphia,82.00,48.3,36.2,84.00,0.431,9.3,27.5,0.339,15.7,22.6,0.694,16.4,21.7,9.5,31.8,41.2,21.5,8.3,6.00,97.4,0.519,0.487,146.4,20.6,74.00,46.4,59.4,14.8,8.4,9.5,1.2,56.2,98.8,109.2,-10.4,8082.7,97.9,6.7,10.9,0.614,6.7,10.9,0.614,0.00,0.00,0.00,3.6,4.6,0.783,2.9,7.5,10.4,1.5,1.1,1.5,1.8,2.7,17.00,33.00,0.649,0.614,0.00,0.423,11.6,28.7,20.4,9.7,2.2,5.5,12.00,25.00,5.00,2.6,7.6,0.271,8.5,4.2,12.7,brice-johnson,0
18,Philadelphia,82.00,48.3,36.2,84.00,0.431,9.3,27.5,0.339,15.7,22.6,0.694,16.4,21.7,9.5,31.8,41.2,21.5,8.3,6.00,97.4,0.519,0.487,146.4,20.6,74.00,46.4,59.4,14.8,8.4,9.5,1.2,56.2,98.8,109.2,-10.4,8082.7,97.9,8.1,15.00,0.539,8.00,14.6,0.549,0.1,0.4,0.2,4.00,5.9,0.678,3.9,7.7,11.6,1.7,1.00,2.2,2.00,2.7,20.3,31.6,0.569,0.542,0.029,0.396,13.4,23.6,18.8,12.1,1.7,6.5,10.00,29.1,4.4,3.4,7.8,0.266,5.5,2.7,8.2,pascal-siakam,0
19,Philadelphia,82.00,48.3,36.2,84.00,0.431,9.3,27.5,0.339,15.7,22.6,0.694,16.4,21.7,9.5,31.8,41.2,21.5,8.3,6.00,97.4,0.519,0.487,146.4,20.6,74.00,46.4,59.4,14.8,8.4,9.5,1.2,56.2,98.8,109.2,-10.4,8082.7,97.9,2.7,5.3,0.516,2.7,5.2,0.521,0.00,0.1,0.00,1.1,1.7,0.661,1.00,2.2,3.1,0.3,0.3,1.6,0.9,3.00,6.6,18.6,0.54,0.516,0.011,0.326,7.3,14.7,11.1,3.6,0.9,10.3,13.1,22.2,0.9,1.1,2.00,0.141,-1.3,4.00,2.6,skal-labissiere,0
20,Philadelphia,82.00,48.3,36.2,84.00,0.431,9.3,27.5,0.339,15.7,22.6,0.694,16.4,21.7,9.5,31.8,41.2,21.5,8.3,6.00,97.4,0.519,0.487,146.4,20.6,74.00,46.4,59.4,14.8,8.4,9.5,1.2,56.2,98.8,109.2,-10.4,8082.7,97.9,5.9,14.3,0.416,4.9,10.8,0.457,1.00,3.5,0.288,3.2,4.9,0.663,1.4,4.6,6.00,4.4,1.8,0.3,3.2,2.6,16.1,16.8,0.485,0.451,0.243,0.342,4.1,13.7,8.8,25.6,2.8,0.8,16.3,25.8,1.2,1.6,2.8,0.099,1.9,1.8,3.6,dejounte-murray,0
21,Philadelphia,82.00,48.3,36.2,84.00,0.431,9.3,27.5,0.339,15.7,22.6,0.694,16.4,21.7,9.5,31.8,41.2,21.5,8.3,6.00,97.4,0.519,0.487,146.4,20.6,74.00,46.4,59.4,14.8,8.4,9.5,1.2,56.2,98.8,109.2,-10.4,8082.7,97.9,5.6,9.5,0.59,5.6,9.4,0.595,0.00,0.1,0.00,2.7,5.1,0.536,2.2,4.6,6.9,1.2,0.2,1.6,2.00,3.3,13.9,23.3,0.584,0.59,0.01,0.538,9.9,17.3,13.9,10.2,0.5,5.9,14.2,26.8,2.00,1.8,3.8,0.175,3.1,3.00,6.2,damian-jones,0
22,L.A. Lakers,82.00,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,20.3,10.7,32.3,43.00,18.00,7.2,4.1,97.3,0.509,0.46,151.2,23.1,74.7,48.00,51.3,12.5,7.6,6.7,1.1,53.9,101.6,111.6,-10.00,7857.9,95.6,5.9,13.4,0.442,3.7,8.00,0.464,2.2,5.4,0.41,3.2,4.7,0.682,1.9,4.9,6.8,2.00,1.1,1.4,2.00,2.1,17.3,22.5,0.552,0.525,0.403,0.351,6.00,15.5,10.8,11.4,1.9,3.6,11.3,25.5,3.4,1.5,4.9,0.157,6.00,2.00,8.00,brandon-ingram,1
23,L.A. Lakers,82.00,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,20.3,10.7,32.3,43.00,18.00,7.2,4.1,97.3,0.509,0.46,151.2,23.1,74.7,48.00,51.3,12.5,7.6,6.7,1.1,53.9,101.6,111.6,-10.00,7857.9,95.6,4.8,11.1,0.431,3.9,8.1,0.482,0.9,3.00,0.294,4.2,6.4,0.654,1.1,4.3,5.4,2.00,0.8,0.6,3.1,3.2,14.6,17.6,0.518,0.471,0.27,0.574,4.4,16.6,10.8,15.3,1.7,2.2,17.9,31.4,1.00,1.8,2.7,0.117,1.1,2.5,3.6,jaylen-brown,0
24,L.A. Lakers,82.00,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,20.3,10.7,32.3,43.00,18.00,7.2,4.1,97.3,0.509,0.46,151.2,23.1,74.7,48.00,51.3,12.5,7.6,6.7,1.1,53.9,101.6,111.6,-10.00,7857.9,95.6,5.6,12.5,0.448,4.3,9.00,0.477,1.3,3.4,0.372,4.00,5.8,0.695,1.1,4.2,5.3,6.2,2.5,0.6,3.5,2.8,16.4,23.3,0.541,0.499,0.275,0.462,3.5,14.8,9.00,41.8,4.3,1.9,18.8,28.1,2.2,2.3,4.5,0.166,4.7,5.4,10.1,kris-dunn,0
25,L.A. Lakers,82.00,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,20.3,10.7,32.3,43.00,18.00,7.2,4.1,97.3,0.509,0.46,151.2,23.1,74.7,48.00,51.3,12.5,7.6,6.7,1.1,53.9,101.6,111.6,-10.00,7857.9,95.6,8.1,16.2,0.501,4.2,7.5,0.552,4.00,8.7,0.457,4.8,5.4,0.88,1.2,4.5,5.7,2.00,1.1,0.5,3.1,2.1,25.00,28.2,0.665,0.623,0.536,0.333,4.00,13.1,8.8,12.7,1.8,1.4,14.00,30.2,5.7,1.9,7.6,0.233,10.6,2.2,12.8,buddy-hield,0
26,L.A. Lakers,82.00,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,20.3,10.7,32.3,43.00,18.00,7.2,4.1,97.3,0.509,0.46,151.2,23.1,74.7,48.00,51.3,12.5,7.6,6.7,1.1,53.9,101.6,111.6,-10.00,7857.9,95.6,6.8,14.9,0.454,3.6,7.3,0.502,3.1,7.7,0.408,3.3,4.2,0.783,1.5,3.7,5.2,2.2,1.00,0.3,2.3,2.1,20.00,22.7,0.59,0.559,0.515,0.283,4.9,11.2,8.2,12.1,1.6,0.9,12.1,27.3,4.4,1.7,6.1,0.193,8.1,1.4,9.5,jamal-murray,0
27,L.A. Lakers,82.00,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,20.3,10.7,32.3,43.00,18.00,7.2,4.1,97.3,0.509,0.46,151.2,23.1,74.7,48.00,51.3,12.5,7.6,6.7,1.1,53.9,101.6,111.6,-10.00,7857.9,95.6,5.3,9.9,0.53,4.6,8.2,0.568,0.6,1.8,0.35,2.6,3.8,0.682,2.5,2.9,5.4,0.8,0.9,1.6,2.00,4.1,13.7,21.6,0.585,0.561,0.178,0.382,9.8,11.6,10.7,6.3,1.9,5.8,14.7,24.1,1.9,1.2,3.1,0.148,2.8,2.2,4.9,marquese-chriss,0
28,L.A. Lakers,82.00,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,20.3,10.7,32.3,43.00,18.00,7.2,4.1,97.3,0.509,0.46,151.2,23.1,74.7,48.00,51.3,12.5,7.6,6.7,1.1,53.9,101.6,111.6,-10.00,7857.9,95.6,6.3,9.8,0.646,6.3,9.8,0.646,0.00,0.00,0.00,4.6,6.6,0.689,2.8,6.3,9.1,1.9,0.6,1.6,2.1,2.3,17.2,31.1,0.665,0.646,0.00,0.674,11.9,22.1,17.4,13.9,1.1,5.00,13.7,25.6,4.9,1.9,6.8,0.25,7.6,2.8,10.4,jakob-poeltl,0
29,L.A. Lakers,82.00,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,20.3,10.7,32.3,43.00,18.00,7.2,4.1,97.3,0.509,0.46,151.2,23.1,74.7,48.00,51.3,12.5,7.6,6.7,1.1,53.9,101.6,111.6,-10.00,7857.9,95.6,6.6,10.9,0.611,6.5,10.5,0.621,0.1,0.4,0.357,4.2,5.4,0.769,3.1,8.8,11.8,1.8,0.6,0.9,2.6,3.2,17.6,29.3,0.654,0.618,0.036,0.499,11.7,28.3,20.7,11.3,1.1,2.7,16.00,25.5,4.6,2.8,7.5,0.26,5.7,2.5,8.2,domantas-sabonis,0
30,L.A. Lakers,82.00,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,20.3,10.7,32.3,43.00,18.00,7.2,4.1,97.3,0.509,0.46,151.2,23.1,74.7,48.00,51.3,12.5,7.6,6.7,1.1,53.9,101.6,111.6,-10.00,7857.9,95.6,5.5,12.7,0.432,3.9,8.4,0.469,1.6,4.3,0.361,3.3,4.3,0.774,2.4,3.7,6.1,2.3,1.3,0.7,2.7,2.5,15.9,20.8,0.537,0.493,0.339,0.337,9.2,14.8,12.00,14.8,2.4,2.7,15.3,28.1,2.4,1.4,3.8,0.148,5.3,1.3,6.6,taurean-prince,0
31,L.A. Lakers,82.00,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,20.3,10.7,32.3,43.00,18.00,7.2,4.1,97.3,0.509,0.46,151.2,23.1,74.7,48.00,51.3,12.5,7.6,6.7,1.1,53.9,101.6,111.6,-10.00,7857.9,95.6,6.6,14.3,0.462,3.3,6.8,0.481,3.4,7.5,0.444,2.6,3.1,0.853,0.8,6.7,7.5,7.8,1.00,0.2,2.7,1.7,19.2,29.7,0.608,0.579,0.527,0.214,3.00,21.2,12.8,45.8,1.9,0.7,14.8,28.5,5.00,2.2,7.2,0.284,11.3,4.3,15.6,denzel-valentine,0
32,L.A. Lakers,82.00,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,20.3,10.7,32.3,43.00,18.00,7.2,4.1,97.3,0.509,0.46,151.2,23.1,74.7,48.00,51.3,12.5,7.6,6.7,1.1,53.9,101.6,111.6,-10.00,7857.9,95.6,4.1,9.6,0.427,2.8,6.5,0.437,1.2,3.1,0.406,4.7,5.9,0.799,0.4,3.6,4.00,5.2,1.2,0.3,2.8,2.6,14.1,20.7,0.571,0.492,0.32,0.614,1.5,11.6,7.00,33.7,2.3,1.00,18.2,25.3,2.7,1.8,4.5,0.179,4.1,3.00,7.1,wade-baldwin,0
33,L.A. Lakers,82.00,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,20.3,10.7,32.3,43.00,18.00,7.2,4.1,97.3,0.509,0.46,151.2,23.1,74.7,48.00,51.3,12.5,7.6,6.7,1.1,53.9,101.6,111.6,-10.00,7857.9,95.6,5.9,13.2,0.446,5.00,10.00,0.495,0.9,3.2,0.288,4.3,5.8,0.749,2.2,7.6,9.7,1.8,0.8,1.5,2.4,2.5,17.00,20.9,0.534,0.48,0.239,0.439,7.8,24.2,16.5,11.00,1.4,4.4,12.9,26.7,2.00,2.00,4.00,0.143,2.8,1.1,3.9,henry-ellenson,0
34,L.A. Lakers,82.00,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,20.3,10.7,32.3,43.00,18.00,7.2,4.1,97.3,0.509,0.46,151.2,23.1,74.7,48.00,51.3,12.5,7.6,6.7,1.1,53.9,101.6,111.6,-10.00,7857.9,95.6,5.4,11.6,0.471,3.8,7.4,0.518,1.6,4.2,0.387,3.1,3.8,0.813,1.3,4.00,5.3,1.5,0.9,0.2,1.7,2.2,15.6,20.8,0.583,0.541,0.361,0.326,5.00,15.1,10.1,9.8,1.8,0.6,11.5,24.2,2.9,1.1,4.00,0.158,5.2,1.00,6.2,malik-beasley,0
35,L.A. Lakers,82.00,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,20.3,10.7,32.3,43.00,18.00,7.2,4.1,97.3,0.509,0.46,151.2,23.1,74.7,48.00,51.3,12.5,7.6,6.7,1.1,53.9,101.6,111.6,-10.00,7857.9,95.6,5.5,10.8,0.506,3.5,6.5,0.546,1.9,4.3,0.446,3.6,4.5,0.794,0.6,4.7,5.3,4.9,1.00,0.2,1.7,1.2,16.5,28.8,0.636,0.596,0.401,0.42,2.4,18.9,10.6,33.3,2.00,0.7,11.4,25.6,2.2,0.7,2.8,0.243,8.5,2.9,11.4,caris-levert,0
36,L.A. Lakers,82.00,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,20.3,10.7,32.3,43.00,18.00,7.2,4.1,97.3,0.509,0.46,151.2,23.1,74.7,48.00,51.3,12.5,7.6,6.7,1.1,53.9,101.6,111.6,-10.00,7857.9,95.6,6.6,13.8,0.479,5.7,10.3,0.553,0.9,3.6,0.266,3.3,4.9,0.657,1.4,6.3,7.8,4.5,1.4,0.8,2.00,2.4,17.4,22.4,0.539,0.513,0.258,0.358,4.3,18.00,11.3,24.1,2.2,2.5,11.2,24.4,3.4,2.5,5.8,0.174,4.7,3.4,8.2,deandre-bembry,0
37,L.A. Lakers,82.00,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,20.3,10.7,32.3,43.00,18.00,7.2,4.1,97.3,0.509,0.46,151.2,23.1,74.7,48.00,51.3,12.5,7.6,6.7,1.1,53.9,101.6,111.6,-10.00,7857.9,95.6,4.1,11.1,0.369,2.00,5.1,0.388,2.1,6.1,0.353,3.1,4.2,0.72,0.5,3.8,4.3,2.1,1.1,0.3,2.1,2.5,13.4,13.8,0.51,0.465,0.544,0.381,1.7,12.1,6.9,12.8,2.00,0.9,14.00,23.2,1.5,1.8,3.3,0.104,1.4,2.1,3.5,malachi-richardson,0
38,L.A. Lakers,82.00,48.1,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,20.3,10.7,32.3,43.00,18.00,7.2,4.1,97.3,0.509,0.46,151.2,23.1,74.7,48.00,51.3,12.5,7.6,6.7,1.1,53.9,101.6,111.6,-10.00,7857.9,95.6,6.7,10.9,0.614,6.7,10.9,0.614,0.00,0.00,0.00,3.6,4.6,0.783,2.9,7.5,10.4,1.5,1.1,1.5,1.8,2.7,17.00,33.00,0.649,0.614,0.00,0.423,11.6,28.7,20.4,9.7,2.2,5.5,12.00,25.00,5.00,2.6,7.6,0.271,8.5,4.2,12.7,brice-johnson,0
